date,exercise,weight,reps,user
2024-02-12,pull ups,10.4,1,otokon
2024-02-12,face pull,40,1,otokon
2024-02-12,split squats,20,1,otokon
2024-02-12,seated row,50.13,1,otokon
2024-02-12,seat press,50,13,otokon
2024-02-10,strange bent pull,70.8,10,otokon
2024-02-10,dumbbell pushups,45,11,otokon
2024-02-10,tricep,50,7,otokon
2024-02-06,pull ups,10.5,1,otokon
2024-02-06,face pull,70,1,otokon
2024-02-06,biceps dumbbell,35.9,9,otokon
2024-02-05,pull ups,10.9,1,otokon
2024-02-05,face pull,90,1,otokon 
